Cut,inertia,OMI,Tol,Rtol,omi,tol,rtol,Niche 
1,3.352623451,1.508316535,1.138280272,0.706026645,45,34,21.1,50
2,3.297032769,1.454255256,1.126072069,0.716705443,44.1,34.2,21.7,50
3,3.255457026,1.41366724,1.117991916,0.723797871,43.4,34.3,22.2,50
4,3.228152484,1.386579508,1.111212533,0.730360443,43,34.4,22.6,50
5,3.186704027,1.350659777,1.104290333,0.731753917,42.4,34.7,23,50
6,3.13281969,1.304728937,1.094484222,0.733606531,41.6,34.9,23.4,50
7,3.113156589,1.286057377,1.092189382,0.734909829,41.3,35.1,23.6,50
8,3.080748493,1.25880014,1.082770953,0.7391774,40.9,35.1,24,50
9,3.034231468,1.219629008,1.072028875,0.742573585,40.2,35.3,24.5,50
10,2.982798445,1.16725371,1.059442988,0.756101748,39.1,35.5,25.3,50
11,2.943913028,1.127737559,1.051578691,0.764596777,38.3,35.7,26,50
12,2.900555442,1.09356813,1.039567207,0.767420105,37.7,35.8,26.5,50
13,2.857953845,1.058434239,1.026985835,0.77253377,37,35.9,27,50
14,2.804552928,1.022262486,1.012429735,0.769860707,36.5,36.1,27.5,50
15,2.717694976,0.957914455,0.997633697,0.762146825,35.2,36.7,28,50
16,2.66936057,0.920269751,0.98449858,0.764592239,34.5,36.9,28.6,50
17,2.635345388,0.892451918,0.974894244,0.767999226,33.9,37,29.1,50
18,2.599673556,0.867274264,0.965217349,0.767181943,33.4,37.1,29.5,50
19,2.561758855,0.836684735,0.956592027,0.768482092,32.7,37.3,30,50
20,2.523196358,0.807631998,0.945728453,0.769835907,32,37.5,30.5,50
21,2.4910701,0.784496678,0.935791438,0.770781985,31.5,37.6,30.9,50
22,2.467253377,0.765135754,0.927000009,0.775117614,31,37.6,31.4,50
23,2.443827768,0.747921847,0.919163889,0.776742032,30.6,37.6,31.8,50
24,2.415640002,0.724954439,0.909478127,0.781207436,30,37.6,32.3,50
25,2.377772273,0.698889469,0.89875005,0.780132754,29.4,37.8,32.8,50
26,2.34668838,0.672759733,0.886971785,0.786956862,28.7,37.8,33.5,50
27,2.327568654,0.657476199,0.880590743,0.789501712,28.2,37.8,33.9,50
28,2.297007577,0.635906151,0.866625236,0.79447619,27.7,37.7,34.6,50
29,2.278862483,0.620012342,0.858042833,0.800807309,27.2,37.7,35.1,50
30,2.250523572,0.597763659,0.848668053,0.80409186,26.6,37.7,35.7,50
31,2.223562902,0.579076992,0.836655294,0.807830616,26,37.6,36.3,50
32,2.214293908,0.567532346,0.832338818,0.814422744,25.6,37.6,36.8,50
33,2.190524066,0.552170202,0.822739866,0.815613997,25.2,37.6,37.2,50
34,2.181609583,0.542957151,0.820402215,0.818250217,24.9,37.6,37.5,50
35,2.144468121,0.518542719,0.804836175,0.821089226,24.2,37.5,38.3,50
36,2.135566695,0.509916305,0.804078803,0.821571586,23.9,37.7,38.5,50
37,2.089945627,0.483083329,0.784867593,0.821994704,23.1,37.6,39.3,50
38,2.081068986,0.472357264,0.782916417,0.825795306,22.7,37.6,39.7,50
39,2.070526485,0.460506763,0.779695947,0.830323774,22.2,37.7,40.1,50
40,2.036970169,0.441539401,0.763237837,0.832192931,21.7,37.5,40.9,50
41,2.028539068,0.431193929,0.759832427,0.837512712,21.3,37.5,41.3,50
42,2.015423955,0.420908902,0.753902551,0.840612503,20.9,37.4,41.7,50
43,2.006396611,0.412374282,0.751475939,0.84254639,20.6,37.5,42,50
44,1.997684309,0.40401217,0.748937647,0.844734493,20.2,37.5,42.3,50
45,1.990879346,0.394170189,0.747058777,0.849650379,19.8,37.5,42.7,50
46,1.980428356,0.374568709,0.74296744,0.862892207,18.9,37.5,43.6,50
47,1.973263041,0.367708206,0.740134723,0.865420112,18.6,37.5,43.9,50
48,1.969742119,0.364069157,0.738266141,0.86740682,18.5,37.5,44,50
49,1.969323096,0.362316445,0.738110162,0.868896488,18.4,37.5,44.1,50
50,1.966837009,0.359252757,0.73618204,0.871402211,18.3,37.4,44.3,50
51,1.960673127,0.354908583,0.732604612,0.873159932,18.1,37.4,44.5,50
52,1.957085193,0.350550777,0.72976276,0.876771657,17.9,37.3,44.8,50
53,1.952472472,0.345627385,0.725787558,0.881057529,17.7,37.2,45.1,50
54,1.947806972,0.342119544,0.722345966,0.883341462,17.6,37.1,45.4,50
55,1.943269185,0.337762054,0.718367343,0.887139787,17.4,37,45.7,50
56,1.93889676,0.333055183,0.714434344,0.891407233,17.2,36.8,46,50
57,1.933121191,0.32731541,0.709409069,0.896396712,16.9,36.7,46.4,50
58,1.928125327,0.323121362,0.706939558,0.898064406,16.8,36.7,46.6,50
59,1.923232386,0.320161326,0.704781195,0.898289865,16.6,36.6,46.7,50
60,1.916068017,0.315473933,0.701692731,0.898901353,16.5,36.6,46.9,50
61,1.912226132,0.311313647,0.69886051,0.902051975,16.3,36.5,47.2,50
62,1.910121533,0.306295676,0.696533147,0.90729271,16,36.5,47.5,50
63,1.908095571,0.302862791,0.696428565,0.908804215,15.9,36.5,47.6,50
64,1.905150122,0.299551542,0.695287343,0.910311238,15.7,36.5,47.8,50
65,1.90217453,0.296040867,0.693462179,0.912671484,15.6,36.5,48,50
66,1.900473202,0.293153283,0.691758994,0.915560925,15.4,36.4,48.2,50
67,1.898923918,0.290532296,0.689639911,0.918751711,15.3,36.3,48.4,50
68,1.898178643,0.288365194,0.687936213,0.921877237,15.2,36.2,48.6,50
69,1.895955035,0.284742246,0.68563954,0.925573248,15,36.2,48.8,50
70,1.889666443,0.280581351,0.683103933,0.925981159,14.8,36.1,49,50
71,1.875294713,0.270684824,0.672555675,0.932054214,14.4,35.9,49.7,50
72,1.867474283,0.265980514,0.665635078,0.935858691,14.2,35.6,50.1,50
73,1.819639134,0.249838552,0.628904493,0.940896088,13.7,34.6,51.7,50
74,1.793722359,0.240441775,0.607755813,0.945524771,13.4,33.9,52.7,50
75,1.791660526,0.237942145,0.60506197,0.948656411,13.3,33.8,52.9,50
76,1.796501614,0.237154907,0.608316903,0.951029804,13.2,33.9,52.9,50
77,1.805120796,0.23722254,0.612611256,0.955286999,13.1,33.9,52.9,50
78,1.807803729,0.235169704,0.611091311,0.961542714,13,33.8,53.2,50
79,1.786052751,0.226854412,0.594070051,0.965128289,12.7,33.3,54,50
80,1.786945184,0.224978846,0.59349123,0.968475108,12.6,33.2,54.2,50
81,1.784207057,0.223256415,0.593286185,0.967664457,12.5,33.3,54.2,50
82,1.793466053,0.221690924,0.588994874,0.982780256,12.4,32.8,54.8,50
83,1.783377262,0.217646208,0.582832113,0.98289894,12.2,32.7,55.1,50
84,1.800331116,0.218151481,0.587939247,0.994240388,12.1,32.7,55.2,50
85,1.795455297,0.214234654,0.584141716,0.997078927,11.9,32.5,55.5,50
86,1.793012228,0.211273645,0.58017948,1.001559103,11.8,32.4,55.9,50
87,1.779085323,0.205132805,0.567064975,1.006887543,11.5,31.9,56.6,50
88,1.774900045,0.202573196,0.565213147,1.007113703,11.4,31.8,56.7,50
89,1.773002278,0.20034369,0.564283411,1.008375176,11.3,31.8,56.9,50
90,1.768881242,0.198208843,0.565383883,1.005288516,11.2,32,56.8,50
91,1.766038939,0.194010168,0.561965805,1.010062966,11,31.8,57.2,50
92,1.762792255,0.191776764,0.562617639,1.008397851,10.9,31.9,57.2,50
93,1.759661163,0.190771705,0.566981082,1.001908377,10.8,32.2,56.9,50
94,1.756494718,0.189832094,0.570996932,0.995665693,10.8,32.5,56.7,50
95,1.737096362,0.184345343,0.559340876,0.993410143,10.6,32.2,57.2,50
96,1.722484242,0.178558802,0.549486541,0.994438899,10.4,31.9,57.7,50
97,1.70983296,0.176169336,0.55081034,0.982853285,10.3,32.2,57.5,50
98,1.68711616,0.170129814,0.541387525,0.975598821,10.1,32.1,57.8,50
99,1.666172397,0.165783382,0.538564039,0.961824976,9.9,32.3,57.7,50
100,1.652822784,0.162199426,0.54465484,0.945968517,9.8,33,57.2,50
101,1.644915846,0.160822491,0.547752287,0.936341068,9.8,33.3,56.9,50
102,1.637334641,0.158704525,0.55190771,0.926722407,9.7,33.7,56.6,50
103,1.629789002,0.157695965,0.554203241,0.917889796,9.7,34,56.3,50
104,1.624614529,0.15792577,0.556807864,0.909880895,9.7,34.3,56,50
105,1.613522338,0.154833867,0.563143419,0.895545051,9.6,34.9,55.5,50
106,1.604406278,0.152380495,0.56496272,0.887063063,9.5,35.2,55.3,50
107,1.582658113,0.149587048,0.570388774,0.862682291,9.5,36,54.5,50
108,1.568407647,0.147017969,0.572964605,0.848425072,9.4,36.5,54.1,50
109,1.560040901,0.146116046,0.584356668,0.829568187,9.4,37.5,53.2,50
110,1.554119871,0.145124858,0.590695329,0.818299684,9.3,38,52.7,50
111,1.5461886,0.143727174,0.601920457,0.800540969,9.3,38.9,51.8,50
112,1.542706144,0.144086085,0.605235316,0.793384743,9.3,39.2,51.4,50
113,1.53963769,0.143433751,0.608021381,0.788182558,9.3,39.5,51.2,50
114,1.533329078,0.141569644,0.616394337,0.775365098,9.2,40.2,50.6,50
115,1.530356673,0.140683366,0.619570149,0.770103157,9.2,40.5,50.3,50
116,1.524738059,0.140508534,0.62793092,0.756298605,9.2,41.2,49.6,50
117,1.502257906,0.135982792,0.620235378,0.746039736,9.1,41.3,49.7,50
118,1.488768824,0.135698962,0.622570624,0.730499238,9.1,41.8,49.1,50
119,1.484270205,0.137216398,0.629933336,0.717120471,9.2,42.4,48.3,50
120,1.480737981,0.139001747,0.636760744,0.704975491,9.4,43,47.6,50
121,1.474802133,0.141571942,0.643629622,0.68960057,9.6,43.6,46.8,50
122,1.464945851,0.141507432,0.644203018,0.679235401,9.7,44,46.4,50
123,1.447515727,0.138617315,0.637047871,0.671850541,9.6,44,46.4,50
124,1.438704859,0.136497216,0.634936718,0.667270925,9.5,44.1,46.4,50
125,1.421901131,0.13134046,0.629222809,0.661337862,9.2,44.3,46.5,50
126,1.417692194,0.128466752,0.63177295,0.657452492,9.1,44.6,46.4,50
127,1.401991435,0.125544485,0.629057722,0.647389228,9,44.9,46.2,50
128,1.398933133,0.123896234,0.630657411,0.644379487,8.9,45.1,46.1,50
129,1.38764327,0.120290941,0.629427358,0.637924971,8.7,45.4,46,50
