Cut,inertia,OMI,Tol,Rtol,omi,tol,rtol,Niche
1,2.095970851,0.272915526,0.691918565,1.131136761,13,33,54,60
2,2.093178046,0.270471895,0.687752213,1.134953938,12.9,32.9,54.2,60
3,2.090608814,0.268087279,0.683464232,1.139057303,12.8,32.7,54.5,60
4,2.088732025,0.26632966,0.679670704,1.142731661,12.8,32.5,54.7,60
5,2.085497095,0.262408115,0.675433534,1.147655446,12.6,32.4,55,60
6,2.080808664,0.257752034,0.667963306,1.155093323,12.4,32.1,55.5,60
7,2.075339917,0.253793881,0.657958197,1.163587839,12.2,31.7,56.1,60
8,2.068873302,0.249888731,0.648533351,1.17045122,12.1,31.3,56.6,60
9,2.063721039,0.247186209,0.641612054,1.174922776,12,31.1,56.9,60
10,2.057851565,0.244208836,0.633273031,1.180369698,11.9,30.8,57.4,60
11,2.052326386,0.241500034,0.625467874,1.185358478,11.8,30.5,57.8,60
12,2.044633882,0.23845722,0.617337185,1.188839477,11.7,30.2,58.1,60
13,2.038262605,0.235938414,0.610812359,1.191511832,11.6,30,58.5,60
14,2.03044056,0.232771044,0.603461325,1.194208191,11.5,29.7,58.8,60
15,2.027146144,0.231176382,0.598313115,1.197656648,11.4,29.5,59.1,60
16,2.020668075,0.229104421,0.591917724,1.199645931,11.3,29.3,59.4,60
17,2.014825595,0.227365947,0.586797697,1.200661952,11.3,29.1,59.6,60
18,2.010103578,0.225944642,0.583464234,1.200694702,11.2,29,59.7,60
19,2.005618321,0.224247646,0.580294352,1.201076323,11.2,28.9,59.9,60
20,2.000269792,0.22222607,0.576254085,1.201789638,11.1,28.8,60.1,60
21,1.995018743,0.22016579,0.572117616,1.202735337,11,28.7,60.3,60
22,1.990489741,0.218648745,0.568631153,1.203209843,11,28.6,60.4,60
23,1.986702683,0.217635059,0.566211,1.202856625,11,28.5,60.5,60
24,1.981701155,0.216112008,0.562780266,1.202808882,10.9,28.4,60.7,60
25,1.974860646,0.214216042,0.559694087,1.200950517,10.8,28.3,60.8,60
26,1.965394077,0.210805545,0.556143576,1.198444956,10.7,28.3,61,60
27,1.959562885,0.208988187,0.553420572,1.197154126,10.7,28.2,61.1,60
28,1.9457864,0.204801765,0.546821026,1.194163609,10.5,28.1,61.4,60
29,1.938329728,0.202521601,0.544373171,1.191434956,10.4,28.1,61.5,60
30,1.936162208,0.201868519,0.543731737,1.190561951,10.4,28.1,61.5,60
31,1.925355294,0.198857853,0.539716203,1.186781238,10.3,28,61.6,60
32,1.921983824,0.197558622,0.539412551,1.185012651,10.3,28.1,61.7,60
33,1.90837227,0.193657391,0.535483533,1.179231347,10.1,28.1,61.8,60
34,1.906408334,0.192879645,0.535339688,1.178189,10.1,28.1,61.8,60
35,1.891333647,0.188636749,0.530920723,1.171776174,10,28.1,62,60
36,1.889931784,0.187402403,0.531615108,1.170914273,9.9,28.1,62,60
37,1.870552925,0.182499004,0.527477688,1.160576232,9.8,28.2,62,60
38,1.869824553,0.181965229,0.528957808,1.158901516,9.7,28.3,62,60
39,1.869319305,0.181379613,0.531029032,1.156910659,9.7,28.4,61.9,60
40,1.854528781,0.178271733,0.530795644,1.145461403,9.6,28.6,61.8,60
41,1.855475816,0.178211457,0.533305318,1.14395904,9.6,28.7,61.7,60
42,1.852320395,0.177919724,0.534472858,1.139927814,9.6,28.9,61.5,60
43,1.853352365,0.177882274,0.537513758,1.137956333,9.6,29,61.4,60
44,1.853613799,0.178150768,0.538954304,1.136508727,9.6,29.1,61.3,60
45,1.854497636,0.178117773,0.541039902,1.13533996,9.6,29.2,61.2,60
46,1.854341234,0.178007509,0.541942287,1.134391438,9.6,29.2,61.2,60
47,1.855140599,0.177362199,0.543646012,1.134132388,9.6,29.3,61.1,60
48,1.853924306,0.176321291,0.544864994,1.132738021,9.5,29.4,61.1,60
49,1.85422182,0.176272794,0.546376264,1.131572763,9.5,29.5,61,60
50,1.854454775,0.176702654,0.547775577,1.129976545,9.5,29.5,60.9,60
51,1.851597518,0.176237755,0.549473975,1.125885789,9.5,29.7,60.8,60
52,1.850850469,0.175476138,0.551259799,1.124114532,9.5,29.8,60.7,60
53,1.849809085,0.174501528,0.551917436,1.123390121,9.4,29.8,60.7,60
54,1.848761065,0.173650794,0.552616748,1.122493523,9.4,29.9,60.7,60
55,1.846345402,0.173268042,0.554168304,1.118909055,9.4,30,60.6,60
56,1.846852596,0.172823058,0.555316666,1.118712872,9.4,30.1,60.6,60
57,1.843380022,0.172166286,0.557096612,1.114117124,9.3,30.2,60.4,60
58,1.842445045,0.170770452,0.558653251,1.113021343,9.3,30.3,60.4,60
59,1.84131776,0.169757857,0.560566857,1.110993046,9.2,30.4,60.3,60
60,1.838659483,0.168241292,0.56123564,1.109182551,9.2,30.5,60.3,60
61,1.837261859,0.166575637,0.562035087,1.108651135,9.1,30.6,60.3,60
62,1.836929241,0.164921166,0.562056404,1.109951671,9,30.6,60.4,60
63,1.837032066,0.163115833,0.563236403,1.11067983,8.9,30.7,60.5,60
64,1.836621415,0.161731191,0.563284066,1.111606158,8.8,30.7,60.5,60
65,1.837153279,0.160860704,0.564113763,1.112178812,8.8,30.7,60.5,60
66,1.837623476,0.159814534,0.565076209,1.112732733,8.7,30.8,60.6,60
67,1.838578163,0.157314771,0.568763892,1.1124995,8.6,30.9,60.5,60
68,1.838892611,0.156206605,0.569793515,1.112892492,8.5,31,60.5,60
69,1.837962971,0.153873215,0.570948219,1.113141538,8.4,31.1,60.6,60
70,1.835980443,0.150871515,0.572884149,1.112224778,8.2,31.2,60.6,60
71,1.831403836,0.148721724,0.575191634,1.107490479,8.1,31.4,60.5,60
72,1.828693957,0.14714993,0.577147144,1.104396883,8,31.6,60.4,60
73,1.800105393,0.143061841,0.583601855,1.073441697,7.9,32.4,59.6,60
74,1.786730048,0.140092062,0.59110076,1.055537227,7.8,33.1,59.1,60
75,1.788887099,0.138618661,0.594551709,1.055716729,7.7,33.2,59,60
76,1.791939813,0.136939845,0.59873083,1.056269138,7.6,33.4,58.9,60
77,1.793533463,0.136279732,0.60080585,1.056447882,7.6,33.5,58.9,60
78,1.795128065,0.135466498,0.603251241,1.056410326,7.5,33.6,58.8,60
79,1.785808449,0.133011668,0.612004414,1.040792367,7.4,34.3,58.3,60
80,1.787348071,0.132476467,0.612987906,1.041883698,7.4,34.3,58.3,60
81,1.789560531,0.130528946,0.614260756,1.044770829,7.3,34.3,58.4,60
82,1.781899458,0.129337522,0.617323684,1.035238252,7.3,34.6,58.1,60
83,1.779643135,0.128907406,0.622447523,1.028288206,7.2,35,57.8,60
84,1.780414385,0.128128255,0.624315124,1.027971007,7.2,35.1,57.7,60
85,1.782160817,0.126476793,0.628833625,1.026850398,7.1,35.3,57.6,60
86,1.781075973,0.125505225,0.629464232,1.026106516,7,35.3,57.6,60
87,1.76986892,0.123683371,0.635377597,1.010807951,7,35.9,57.1,60
88,1.770585006,0.120607271,0.635993766,1.01398397,6.8,35.9,57.3,60
89,1.770089627,0.117714883,0.633705545,1.018669199,6.7,35.8,57.5,60
90,1.770841811,0.113284752,0.631923298,1.02563376,6.4,35.7,57.9,60
91,1.771103364,0.109851255,0.629888853,1.031363255,6.2,35.6,58.2,60
92,1.772088416,0.106209985,0.626806497,1.039071934,6,35.4,58.6,60
93,1.771730636,0.102562524,0.622116068,1.047052044,5.8,35.1,59.1,60
94,1.772480169,0.099263147,0.618834688,1.054382334,5.6,34.9,59.5,60
95,1.759981887,0.095629388,0.618958391,1.045394108,5.4,35.2,59.4,60
96,1.75073026,0.092695602,0.61787899,1.040155669,5.3,35.3,59.4,60
97,1.7448343,0.088245337,0.610090955,1.046498008,5.1,35,60,60
98,1.729341828,0.084001076,0.608457132,1.03688362,4.9,35.2,60,60
99,1.714895097,0.078043517,0.60059899,1.036252589,4.6,35,60.4,60
100,1.705171771,0.071140323,0.587386281,1.046645167,4.2,34.4,61.4,60
101,1.699018196,0.066648469,0.574986065,1.057383663,3.9,33.8,62.2,60
102,1.69275569,0.062072464,0.563868618,1.066814609,3.7,33.3,63,60
103,1.685987781,0.058104695,0.550417467,1.077465618,3.4,32.6,63.9,60
104,1.682499173,0.05535043,0.542350501,1.084798242,3.3,32.2,64.5,60
105,1.674770318,0.051175129,0.528511575,1.095083614,3.1,31.6,65.4,60
106,1.668866122,0.048594165,0.519369771,1.100902186,2.9,31.1,66,60
107,1.654281326,0.04346565,0.502234777,1.1085809,2.6,30.4,67,60
108,1.645722783,0.040568691,0.492433128,1.112720965,2.5,29.9,67.6,60
109,1.641313796,0.037976794,0.483156806,1.120180195,2.3,29.4,68.2,60
110,1.639012873,0.036805744,0.479880151,1.122326978,2.2,29.3,68.5,60
111,1.641472302,0.035101428,0.477501659,1.128869215,2.1,29.1,68.8,60
112,1.640722313,0.034906628,0.483304945,1.12251074,2.1,29.5,68.4,60
113,1.639615275,0.034553566,0.487669411,1.117392297,2.1,29.7,68.1,60
114,1.63666657,0.033382199,0.493917509,1.109366863,2,30.2,67.8,60
115,1.635879817,0.03294029,0.500451771,1.102487756,2,30.6,67.4,60
116,1.632995654,0.031984224,0.511354273,1.089657158,2,31.3,66.7,60
117,1.617319673,0.03107142,0.510808662,1.075439591,1.9,31.6,66.5,60
118,1.608192983,0.030672413,0.525223463,1.052297106,1.9,32.7,65.4,60
119,1.60626785,0.030528519,0.547180837,1.028558493,1.9,34.1,64,60
120,1.604302378,0.030511232,0.568356782,1.005434364,1.9,35.4,62.7,60
121,1.601090855,0.030420032,0.596990083,0.97368074,1.9,37.3,60.8,60
122,1.592907299,0.031022673,0.615944057,0.945940568,1.9,38.7,59.4,60
123,1.57839821,0.031624053,0.624981397,0.92179276,2,39.6,58.4,60
124,1.571288138,0.033083565,0.637362035,0.900842537,2.1,40.6,57.3,60
125,1.559987187,0.034197711,0.649121926,0.876667549,2.2,41.6,56.2,60
126,1.559125621,0.037096285,0.669218484,0.852810853,2.4,42.9,54.7,60
127,1.547036391,0.039004646,0.68534577,0.822685974,2.5,44.3,53.2,60
128,1.550385428,0.04213461,0.698685193,0.809565625,2.7,45.1,52.2,60
129,1.542561231,0.045794965,0.705845891,0.790920375,3,45.8,51.3,60
130,1.545722641,0.051733604,0.707340245,0.786648792,3.3,45.8,50.9,60
131,1.535061895,0.061190044,0.702261236,0.771610615,4,45.7,50.3,60
132,1.531740721,0.066986593,0.695008988,0.76974514,4.4,45.4,50.3,60
133,1.529438881,0.072544464,0.688665055,0.768229362,4.7,45,50.2,60
134,1.525870076,0.0756064,0.683871799,0.766391877,5,44.8,50.2,60
135,1.530901976,0.078258586,0.680289472,0.772353918,5.1,44.4,50.5,60
136,1.519643809,0.081806896,0.668797109,0.769039804,5.4,44,50.6,60
137,1.480902779,0.079884855,0.634555583,0.766462341,5.4,42.8,51.8,60
138,1.471142996,0.080783446,0.6278788,0.76248075,5.5,42.7,51.8,60
139,1.475304251,0.083190954,0.62463778,0.767475517,5.6,42.3,52,60
140,1.479366876,0.087138553,0.620116492,0.772111832,5.9,41.9,52.2,60
141,1.466002896,0.089914047,0.612223458,0.763865392,6.1,41.8,52.1,60
142,1.470039515,0.09369467,0.60584981,0.770495036,6.4,41.2,52.4,60
143,1.445186724,0.094753459,0.591764555,0.758668711,6.6,40.9,52.5,60
144,1.451666489,0.099787682,0.585328729,0.766550078,6.9,40.3,52.8,60
145,1.414404832,0.098571753,0.572653079,0.74318,7,40.5,52.5,60
146,1.420515639,0.102773181,0.5696695,0.748072958,7.2,40.1,52.7,60
147,1.391953367,0.100593419,0.562751254,0.728608694,7.2,40.4,52.3,60
148,1.40126086,0.102091583,0.561292114,0.737877164,7.3,40.1,52.7,60
149,1.366177537,0.09969742,0.555360038,0.71112008,7.3,40.7,52.1,60
150,1.370691517,0.100739004,0.553916428,0.716036084,7.3,40.4,52.2,60
151,1.373495384,0.102479087,0.550706457,0.720309839,7.5,40.1,52.4,60
152,1.365960127,0.104697073,0.546957023,0.714306031,7.7,40,52.3,60
153,1.369856946,0.106665796,0.543896861,0.719294289,7.8,39.7,52.5,60
154,1.361471759,0.119127403,0.541921468,0.700422888,8.7,39.8,51.4,60
155,1.361328493,0.121618022,0.537501234,0.702209237,8.9,39.5,51.6,60
156,1.364012055,0.127135445,0.535312471,0.701564138,9.3,39.2,51.4,60
157,1.366778003,0.126667807,0.535151871,0.704958324,9.3,39.2,51.6,60
158,1.369779869,0.134746401,0.534051755,0.700981712,9.8,39,51.2,60
159,1.371491684,0.134996242,0.533079782,0.70341566,9.8,38.9,51.3,60
160,1.370737797,0.134573632,0.532266534,0.703897631,9.8,38.8,51.4,60
161,1.373731858,0.138137538,0.530893138,0.704701182,10.1,38.6,51.3,60
162,1.375347094,0.137889168,0.529927398,0.707530528,10,38.5,51.4,60
163,1.375727554,0.141669269,0.527139059,0.706919225,10.3,38.3,51.4,60
164,1.374496175,0.142230217,0.525996805,0.706269154,10.3,38.3,51.4,60
165,1.375643873,0.146174585,0.523119137,0.706350151,10.6,38,51.3,60
166,1.375337427,0.146319086,0.522040573,0.706977768,10.6,38,51.4,60
167,1.374802507,0.151769632,0.517221545,0.70581133,11,37.6,51.3,60
168,1.373852307,0.152276284,0.515866057,0.705709966,11.1,37.5,51.4,60
169,1.37537336,0.151317301,0.516068572,0.707987488,11,37.5,51.5,60
170,1.378054712,0.152222604,0.515352237,0.710479872,11,37.4,51.6,60
171,1.384292757,0.150335905,0.516504474,0.717452379,10.9,37.3,51.8,60
172,1.386220438,0.154043687,0.514118102,0.718058649,11.1,37.1,51.8,60
173,1.387430485,0.152963403,0.513960518,0.720506563,11,37,51.9,60
174,1.39095202,0.158339289,0.509972227,0.722640505,11.4,36.7,52,60
175,1.394073788,0.157177482,0.509687425,0.727208881,11.3,36.6,52.2,60
176,1.398697159,0.163921414,0.504964985,0.729810761,11.7,36.1,52.2,60
177,1.40105266,0.162934898,0.504696993,0.733420769,11.6,36,52.3,60
178,1.40075682,0.162023598,0.504352043,0.734381179,11.6,36,52.4,60
179,1.403579119,0.16944409,0.500551806,0.733583223,12.1,35.7,52.3,60
180,1.405541913,0.168281886,0.500620394,0.736639633,12,35.6,52.4,60
181,1.409601453,0.179496191,0.494240951,0.735864311,12.7,35.1,52.2,60
182,1.409839521,0.179036475,0.493525702,0.737277343,12.7,35,52.3,60
183,1.416037557,0.188297948,0.487760174,0.739979435,13.3,34.4,52.3,60
184,1.4184113,0.189011501,0.488492633,0.740907166,13.3,34.4,52.2,60
185,1.420616624,0.197623926,0.482870819,0.740121879,13.9,34,52.1,60
186,1.423876383,0.199446538,0.485294342,0.739135503,14,34.1,51.9,60
187,1.42207844,0.19997628,0.485052357,0.737049803,14.1,34.1,51.8,60
188,1.435726724,0.213754035,0.48274223,0.739230459,14.9,33.6,51.5,60
189,1.43600905,0.213975725,0.481881213,0.740152112,14.9,33.6,51.5,60
190,1.445345791,0.221048803,0.482848846,0.741448143,15.3,33.4,51.3,60
191,1.45530041,0.223206548,0.487757484,0.744336377,15.3,33.5,51.1,60
192,1.456684342,0.227645639,0.48628139,0.742757313,15.6,33.4,51,60
193,1.457091401,0.227931012,0.4862972,0.742863189,15.6,33.4,51,60
194,1.461669394,0.233868281,0.485529533,0.74227158,16,33.2,50.8,60
195,1.468319121,0.234929381,0.486670352,0.746719388,16,33.1,50.9,60
196,1.469405644,0.235258092,0.486914085,0.747233468,16,33.1,50.9,60
197,1.480972846,0.241543007,0.489190831,0.750239008,16.3,33,50.7,60
198,1.492454096,0.246394593,0.49435121,0.751708292,16.5,33.1,50.4,60
199,1.508026587,0.255581843,0.49844104,0.754003704,16.9,33.1,50,60
200,1.528013619,0.265233492,0.508581278,0.754198849,17.4,33.3,49.4,60
201,1.532233056,0.270912925,0.507238288,0.754081844,17.7,33.1,49.2,60
202,1.544946266,0.274277464,0.513406155,0.757262648,17.8,33.2,49,60
203,1.550149652,0.280237943,0.513193491,0.756718219,18.1,33.1,48.8,60
204,1.554966593,0.281783327,0.514738907,0.758444359,18.1,33.1,48.8,60
205,1.561643782,0.284582332,0.518950892,0.758110558,18.2,33.2,48.5,60
206,1.579808077,0.297724333,0.524598519,0.757485225,18.8,33.2,47.9,60
207,1.583532048,0.2989908,0.525999833,0.758541415,18.9,33.2,47.9,60
208,1.590566594,0.312778497,0.519348771,0.758439325,19.7,32.7,47.7,60
209,1.594212404,0.313795701,0.520324571,0.760092132,19.7,32.6,47.7,60
210,1.605961377,0.336932567,0.507511454,0.761517356,21,31.6,47.4,60
211,1.625600613,0.342628836,0.516009471,0.766962306,21.1,31.7,47.2,60
212,1.639010606,0.35738982,0.516049111,0.765571675,21.8,31.5,46.7,60
213,1.649165517,0.36045375,0.517673018,0.771038749,21.9,31.4,46.8,60
214,1.650623101,0.361826605,0.517863198,0.770933298,21.9,31.4,46.7,60
215,1.655291093,0.376131715,0.513043794,0.766115584,22.7,31,46.3,60
216,1.658068454,0.379722452,0.51306022,0.765285783,22.9,30.9,46.2,60
217,1.658655399,0.395141715,0.507279469,0.756234215,23.8,30.6,45.6,60
218,1.672413235,0.399379077,0.510937967,0.762096191,23.9,30.6,45.6,60
219,1.675184695,0.415229499,0.503541688,0.756413508,24.8,30.1,45.2,60
220,1.690625232,0.419334879,0.508699808,0.762590544,24.8,30.1,45.1,60
221,1.694756752,0.434045242,0.502898351,0.757813159,25.6,29.7,44.7,60
222,1.735431284,0.449842637,0.518125751,0.767462896,25.9,29.9,44.2,60
223,1.765543392,0.477967071,0.52299464,0.764581681,27.1,29.6,43.3,60
224,1.773046461,0.480138435,0.524841317,0.76806671,27.1,29.6,43.3,60
225,1.776866101,0.482116403,0.52608432,0.768665378,27.1,29.6,43.3,60
226,1.783658141,0.500658017,0.517591354,0.76540877,28.1,29,42.9,60
227,1.793110037,0.504057916,0.518863171,0.77018895,28.1,28.9,43,60
228,1.797210159,0.519954117,0.514236556,0.763019486,28.9,28.6,42.5,60
229,1.804305641,0.523035911,0.517055888,0.764213842,29,28.7,42.4,60
230,1.810147103,0.539632142,0.514441136,0.756073825,29.8,28.4,41.8,60
