sample,standard_deviation,growth_rate_max,local_threshold,harvest_max,harvest_z,density,niche_breadth,niche_cuts,dispersal_proportion,dispersal_max_distance,human_density_sample,weight
259,0.010235657,4.488,79,0.122,1.629,2344.622961,40,602,0.225788664,452.353597,0.015267685,0.084760568
14757,0.129113059,2.033,64,0.145,1.781,706.8121085,40,604,0.150203367,363.2847449,0.792586172,0.014704651
376,0.116317893,1.899,9,0.008,1.024,1577.017434,50,502,0.059427382,206.1490962,0.972531502,0.167993857
4287,0.069769591,6.095,0,0.186,1.698,3680.768983,50,222,0.213940141,258.8005564,0.904993666,0.10290999
7974,0.010955879,4.759,1,0.174,1.132,2984.739453,50,174,0.223527759,298.9371141,0.053936929,0.006049482
8445,0.117937126,6.141,4,0.167,1.286,2250.141401,50,117,0.182989752,376.4684223,0.451230082,0.007769263
9101,0.169341904,3.566,59,0.343,1.663,2805.452252,50,503,0.060314635,286.5485128,0.238615908,0.047779107
9140,0.049886294,6.185,1,0.16,1.298,1809.172856,50,89,0.074592317,203.4213348,0.358557237,0.01693512
10979,0.100199902,3.729,2,0.266,1.944,3406.675701,50,96,0.211932346,286.9494608,0.506500433,0.046623745
11481,0.056251887,4.492,90,0.265,1.616,1052.49476,50,504,0.119561502,153.6702341,0.297286486,0.12599189
11961,0.169216976,5.678,7,0.043,1.949,3736.137192,50,85,0.200718063,316.5414776,0.68504567,0.003801065
13313,0.1295518,6.632,1,0.13,1.65,2008.145173,50,115,0.211629987,209.2940311,0.562837523,0.03709098
92,0.121272982,2.114,0,0.286,1.938,2350.254797,60,99,0.224958035,290.8110757,0.472498167,0.378191754
139,0.133696181,6.833,50,0.139,1.713,4217.209176,60,2,0.104770353,250.4287977,0.209413961,0.002817673
151,0.072473001,4.523,0,0.248,1.402,6564.975652,60,131,0.246503417,266.0086946,0.512234149,0.138877818
168,0.08877429,2.594,1,0.236,1.951,3663.547814,60,242,0.245512226,407.4221415,0.84525635,0.313431494
182,0.154924745,5.452,6,0.342,1.667,5096.885197,60,175,0.082687679,160.285736,0.970198013,0.007066209
201,0.004009675,1.843,10,0.07,1.775,2360.679281,60,82,0.246924918,169.5236077,0.578371891,0.180339157
209,0.02139546,5.422,18,0.195,1.049,3698.921789,60,45,0.191630551,460.4884289,0.926528435,0.000749481
408,0.139817102,3.498,5,0.095,1.906,4224.068846,60,142,0.112897736,391.3359821,0.283352223,0.047431384
638,0.029975899,5.791,9,0.303,1.39,6950.327486,60,207,0.218085126,491.4737209,0.267417828,0.329429767
680,0.039507986,2.309,2,0.258,1.581,3497.612365,60,126,0.167547969,435.3334087,0.140276018,0.123825044
891,0.142465043,1.746,1,0.308,1.961,3471.29538,60,114,0.213643299,100.8476554,0.71144743,0.03594156
899,0.03459987,4.205,28,0.29,1.713,3829.952449,60,29,0.238214461,315.1150527,0.790719381,0.020595678
1014,0.038855014,1.368,20,0.106,1.93,1592.312682,60,23,0.066458356,208.6058707,0.377291819,0.144108837
1333,0.063442382,3.886,21,0.147,1.822,3013.606992,60,12,0.191546828,490.0809969,0.634975665,0.033258444
1413,0.107497674,5.923,31,0.211,1.785,1687.316099,60,51,0.141987275,171.9015613,0.254483632,0.055738136
1452,0.082202747,4.177,17,0.133,1.741,4328.795194,60,42,0.185482019,310.8319364,0.586239083,0.048058345
1455,0.174647973,4.392,8,0.32,1.842,981.3841995,60,18,0.090378712,486.78445,0.077738516,0.164618771
1496,0.069526891,2.856,82,0.059,1.57,3404.909561,60,14,0.077151005,129.0552403,0.582305487,0.028765214
1661,0.006622903,4.288,5,0.11,1.395,2781.122509,60,102,0.097399499,128.5850913,0.690979399,0.005041446
1720,0.130680208,4.733,29,0.167,1.947,1164.488786,60,101,0.213998014,171.1054386,0.427495166,0.001045334
1924,0.061235037,5.165,2,0.3,1.36,1111.543719,60,37,0.074020057,251.0059683,0.716581105,0.13240238
2117,0.112313398,2.199,7,0.023,1.883,1551.247505,60,71,0.175885903,176.0859201,0.477298487,0.206807602
2328,0.125775454,5.199,8,0.346,1.023,1195.79513,60,9,0.231387206,317.8766289,0.310354024,0.075258615
2550,0.059370197,1.94,8,0.217,1.783,5201.446139,60,199,0.195925609,480.4877342,0.20814721,0.042542304
2576,0.10181107,2.074,0,0.264,1.236,7392.887105,60,173,0.149295472,325.5464447,0.054803654,0.445949288
2894,0.150187746,4.008,8,0.298,1.464,9316.868862,60,204,0.216389101,381.3217528,0.424628309,0.323359261
2915,0.056980493,6.665,48,0.012,1.249,1328.048098,60,36,0.233206166,321.5202976,0.549036602,0.036215055
3027,0.089496779,1.688,18,0.13,1.848,1192.97435,60,63,0.183468395,441.4850904,0.860057337,0.023213045
3223,0.052948205,3.848,6,0.121,1.71,2141.448093,60,81,0.071860967,389.7268881,0.399693313,0.023932687
3227,0.003470656,4.912,1,0.25,1.892,2736.203397,60,50,0.092919217,235.2889347,0.402160144,0.270789454
3255,0.106288181,4.623,8,0.192,1.517,6053.832881,60,179,0.190430918,249.7583684,0.100740049,0.08838399
3257,0.125417619,1.61,14,0.053,1.62,4304.672444,60,21,0.228912712,210.9622928,0.53810254,0.066375816
3344,0.150183708,5.016,6,0.071,1.086,2172.613883,60,45,0.10231337,441.4587015,0.753583572,0.070645996
3524,0.101851097,4.91,4,0.348,1.755,5925.325818,60,209,0.137877641,367.4968321,0.093406227,0.180594498
3617,0.116249162,4.874,79,0.069,1.734,2067.414603,60,43,0.121202494,245.0572618,0.836789119,0.017636882
3629,0.043453085,5.13,57,0.177,1.811,1968.200261,60,42,0.051637133,272.983221,0.597373158,0.019872143
4114,0.051385032,6.252,24,0.154,1.867,3083.317994,60,20,0.233955718,119.1482557,0.096673112,0.090343861
4187,0.155169458,6.53,1,0.198,1.821,3197.175034,60,36,0.096824451,446.7342665,0.090539369,0.162004481
4486,0.014345312,6.375,19,0.032,1.352,1050.289467,60,103,0.064673733,449.0097569,0.197813188,0.00094935
4591,0.16322904,3.54,63,0.033,1.725,3022.372987,60,15,0.110302331,420.2962624,0.72164811,0.021949171
4611,0.034936848,2.821,13,0.226,1.225,6798.37237,60,157,0.199224838,298.4114006,0.038535902,0.015711293
4696,0.144395691,4.547,0,0.342,1.699,5563.919051,60,26,0.072968517,176.8065826,0.782118808,0.049658616
4737,0.128555641,2.855,11,0.128,1.993,1250.741919,60,8,0.151990412,426.5112302,0.153676912,0.087156391
4739,0.108163719,3.203,80,0.237,1.974,2378.977912,60,44,0.175629327,323.5652498,0.383758917,0.009685635
4831,0.009267008,1.594,21,0.137,1.722,939.2318592,60,61,0.159470108,465.74417,0.433495566,0.025423535
4877,0.119353491,6.16,9,0.291,1.563,8451.105647,60,171,0.246995255,414.1251192,0.664844323,0.333289524
5050,0.114076358,6.512,12,0.078,1.785,2793.911495,60,80,0.172144309,289.5021387,0.796519768,0.149285961
5067,0.003806933,4.011,123,0.01,1.672,1259.814295,60,58,0.183346031,341.343881,0.059270618,0.013990537
5143,0.166037787,2.548,6,0.31,1.64,1924.37764,60,18,0.219582091,174.0530372,0.488165878,0.152961576
5232,0.153272633,5.767,3,0.325,1.656,2455.046931,60,48,0.098642888,311.344475,0.775585039,0.281554994
5394,0.161140078,3.892,3,0.166,1.399,1828.308102,60,40,0.085806257,295.8341102,0.693112874,0.250438415
5406,0.017224989,1.576,53,0.204,1.88,5075.198359,60,11,0.210364223,382.0024159,0.863057537,0.011284071
5430,0.093118494,3.103,4,0.239,1.017,5182.723448,60,16,0.221319479,162.669875,0.838989266,0.004212303
5471,0.099418603,1.995,9,0.206,1.894,960.6475062,60,31,0.242452042,427.3903059,0.187279152,0.105160875
5521,0.081103846,4.263,24,0.345,1.376,3159.255457,60,7,0.11376358,269.543085,0.081138743,0.087669798
5751,0.03375416,4.485,11,0.284,1.426,7314.016901,60,137,0.090200566,335.5741916,0.536769118,0.031862239
5774,0.076277696,1.58,48,0.039,1.537,2912.395053,60,53,0.189486672,483.7610687,0.344022935,0.005344212
6040,0.050359667,6.789,16,0.197,1.344,4551.40372,60,76,0.228632017,376.4546346,0.645509701,0.043074023
6243,0.064354749,5.668,12,0.072,1.879,1781.189128,60,42,0.140791528,117.5394297,0.415494366,0.082395492
6247,0.000520754,3.437,23,0.117,1.361,7700.453581,60,132,0.180312421,149.5464341,0.782518835,0.000690474
6368,0.006045292,3.769,110,0.025,1.032,2349.331749,60,45,0.150448049,297.8397197,0.726781785,0.003864206
6424,0.050576968,3.884,34,0.183,1.31,5255.864507,60,2,0.074189368,434.3669788,0.368624575,0.004957161
6495,0.013161842,4.82,51,0.283,1.916,1585.975175,60,46,0.162946155,399.7681863,0.172544836,0.023855315
6507,0.048087558,5.838,17,0.164,1.889,1252.762262,60,25,0.100094181,278.4753741,0.699179945,0.061923613
6543,0.113702205,3.005,13,0.12,1.444,1188.902643,60,107,0.132294374,355.4873376,0.330422028,0.022702946
6691,0.104719357,2.581,58,0.105,1.83,1803.697318,60,26,0.128728454,494.9669381,0.687245816,0.001430713
6820,0.145036797,4.637,5,0.222,1.776,5793.516064,60,158,0.234273291,439.7551316,0.839322622,0.375273077
6958,0.005930241,6.347,27,0.107,1.563,1067.033837,60,100,0.189902826,466.1237928,0.19434629,0.000807416
7026,0.061839908,4.72,5,0.255,1.722,9812.62183,60,162,0.155202368,393.6078816,0.556437096,0.030054565
7087,0.067848813,4.308,10,0.282,1.167,2575.343452,60,61,0.229817341,252.6178399,0.529968665,0.083348835
7139,0.118241424,3.368,12,0.008,1.062,1528.683119,60,76,0.155485901,118.7877608,0.012134142,0.026430004
7262,0.066760836,3.388,2,0.227,1.458,2830.612524,60,100,0.092722723,270.168714,0.286085739,0.154867424
7430,0.029736122,2.906,25,0.125,1.719,1570.610912,60,18,0.178730218,380.1652432,0.780052003,0.128572244
7449,0.062622202,4.633,5,0.058,1.837,3997.065953,60,172,0.097869844,306.9991684,0.43129542,0.108983192
7586,0.157003269,5.809,15,0.154,1.572,1311.464582,60,12,0.133969652,399.3275142,0.137009134,0.147886132
7889,0.042303884,3.096,7,0.05,1.294,7182.489687,60,216,0.12634255,376.2754144,0.982332155,0.043270075
8071,0.026371174,6.156,8,0.106,1.776,1358.991289,60,3,0.11703656,470.349107,0.171944796,0.082952089
8168,0.11329377,4.428,15,0.178,1.435,7240.856982,60,186,0.175279761,310.2041166,0.235415694,0.136671881
8320,0.119310842,3.364,51,0.073,1.548,2935.913827,60,31,0.249098354,122.3075488,0.228681912,0.014569308
8375,0.102515548,6.63,5,0.24,1.407,4017.664325,60,81,0.211319864,333.0550082,0.323021535,0.078911631
8520,0.000727376,6.129,17,0.303,1.609,2978.553734,60,41,0.202550033,451.0201432,0.472564838,0.089451037
8668,0.072774482,1.291,1,0.317,1.635,9649.014525,60,214,0.086900137,240.6256498,0.831388759,0.12059371
8678,0.092659505,3.771,63,0.118,1.863,4353.780639,60,6,0.226785492,435.3314385,0.807187146,0.023909742
9063,0.045291752,5.945,6,0.227,1.444,2616.773821,60,98,0.132407486,415.9857597,0.91959464,0.06648481
9460,0.06522011,5.895,1,0.307,1.592,2832.188491,60,77,0.210489695,104.8098088,0.519301287,0.155699815
9782,0.092277741,3.4,2,0.28,1.344,4286.116018,60,149,0.171697621,440.1687861,0.629908661,0.241266792
9846,0.065447857,5.84,3,0.055,1.338,5904.872154,60,181,0.208281303,439.4275805,0.551836789,0.131200089
9864,0.066175458,4.768,3,0.328,1.943,5393.751764,60,16,0.193235984,149.3234342,0.747183146,0.032539491
10008,0.044969574,5.657,4,0.239,1.474,3922.402553,60,19,0.078137712,419.6399476,0.939929329,0.068691926
10017,0.147191916,4.395,110,0.181,1.92,2210.8321,60,46,0.10771426,389.2916064,0.140742716,0.000425765
10054,0.165015044,4.222,79,0.028,1.263,2294.597588,60,38,0.075797446,253.8817174,0.281752117,0.009237291
10059,0.035173331,6.773,16,0.051,1.975,3941.100942,60,32,0.216057558,169.5634621,0.068804587,0.031136444
10250,0.141767491,4.963,6,0.146,1.858,3744.406471,60,25,0.07806008,158.9782036,0.571171411,0.095347655
10284,0.054772281,5.014,10,0.219,1.633,8770.657411,60,200,0.203823974,204.9555432,0.859723982,0.369331095
10292,0.013867885,1.552,2,0.202,1.447,1177.737038,60,104,0.064973237,323.820592,0.155410361,0.09732127
10415,0.083614104,2.046,7,0.091,1.315,5822.436886,60,215,0.167904127,425.9557647,0.450296686,0.103760287
10656,0.056015621,3.559,93,0.167,1.668,3620.817709,60,8,0.181198442,310.4428477,0.205813721,0.01374714
10745,0.100184054,4.517,3,0.34,1.957,3166.856585,60,92,0.228815811,262.8887138,0.487765851,0.17064499
10750,0.001550024,3.986,3,0.328,1.432,1102.78621,60,88,0.216411778,462.538454,0.47929862,0.27671737
10756,0.011020383,1.759,66,0.027,1.934,3214.497677,60,14,0.066239706,110.2296567,0.507700513,0.041664185
10772,0.118829745,3.223,3,0.29,1.628,4162.988129,60,199,0.229937479,153.1187009,0.151210081,0.430747939
10849,0.131472509,3.824,17,0.042,1.183,3503.38339,60,17,0.147742834,158.7483538,0.130875392,0.070499992
10868,0.169987993,1.741,1,0.032,1.64,4358.377339,60,222,0.195532046,177.516543,0.209147276,0.219908904
10907,0.17131043,1.367,52,0.168,1.918,2357.16591,60,35,0.212769075,197.3455628,0.087672512,0.002646278
10988,0.142194793,4.795,61,0.035,1.319,3917.295436,60,3,0.208729633,145.8457466,0.951596773,0.035556099
11030,0.033968275,6.837,9,0.137,1.258,2872.059341,60,11,0.199316858,483.1361823,0.169877992,0.175288875
11350,0.008069876,5.909,7,0.099,1.795,4174.50951,60,21,0.124243268,490.3964946,0.547036469,0.036460045
11398,0.1728002,4.375,73,0.033,1.504,1739.788728,60,47,0.202259607,109.1691299,0.72464831,0.010409156
11627,0.000962732,3.641,0,0.002,1.817,1372.998817,60,94,0.081786039,213.8135552,0.69584639,0.303242314
11736,0.136906876,5.772,35,0.112,1.199,1142.246275,60,74,0.061525191,134.2726344,0.229281952,0.008244063
11798,0.159440672,2.92,12,0.343,1.688,5958.754649,60,166,0.236132016,398.8950685,0.147676512,0.219097439
11848,0.022503404,6.416,3,0.054,1.381,2151.606156,60,177,0.093315806,195.4354068,0.625041669,0.311061783
11890,0.162384415,2.987,10,0.229,1.534,5083.729388,60,152,0.205249052,281.3727009,0.114674312,0.132780448
12273,0.165263651,3.434,1,0.306,1.792,4917.160497,60,178,0.059759508,342.074949,0.133142209,0.275380897
12627,0.091413285,4.144,21,0.017,1.32,2793.421825,60,20,0.115313105,273.8097525,0.729048603,0.024413238
12769,0.17410354,2.879,1,0.273,1.176,6425.851598,60,184,0.209977866,232.1583621,0.391226082,0.082077996
12954,0.171972035,3.5,3,0.002,1.307,1992.16521,60,62,0.12935599,363.6717867,0.487432495,0.292098488
12966,0.157467797,3.319,40,0.345,1.391,4291.334384,60,8,0.072957099,118.1730599,0.170878059,0.039684033
12970,0.037366054,2.414,27,0.265,1.555,4528.889303,60,3,0.20307154,353.5704904,0.107473832,0.002157947
12980,0.007986234,1.765,16,0.259,1.892,9515.61508,60,217,0.232987163,298.4316645,0.334488966,0.034864683
12989,0.171159758,6.437,2,0.14,1.866,6801.276177,60,234,0.19478079,394.243751,0.34015601,0.195722
13049,0.148968884,3.545,53,0.105,1.918,3752.510718,60,20,0.210684123,112.879161,0.360890726,0.00881734
13130,0.028953766,2.912,12,0.013,1.437,1646.034566,60,95,0.185870313,113.2416723,0.186279085,0.018514477
13267,0.092217951,6.148,66,0.016,1.399,3614.578564,60,11,0.101466066,350.1657754,0.68024535,0.015541118
13350,0.158033918,4.48,38,0.029,1.477,1774.62792,60,47,0.058302355,316.0370763,0.638442563,0.009139643
13374,0.000434526,3.903,4,0.2,1.843,6170.038998,60,144,0.200793017,220.4775541,0.738382559,0.116690128
13404,0.107035456,5.163,21,0.213,1.173,9727.064101,60,184,0.175475151,327.1489344,0.293019535,0.085314318
13499,0.014119177,4.061,25,0.17,1.395,1649.383442,60,67,0.119093572,134.9280487,0.011867458,0.027019228
14086,0.167879262,3.549,8,0.281,1.361,5223.982311,60,61,0.155660213,439.5973545,0.643376225,0.009720068
14241,0.067282036,1.389,2,0.108,1.733,4667.690889,60,26,0.154212384,158.7025352,0.160610707,0.045476937
14250,0.103986674,5.606,29,0.186,1.262,3352.00852,60,5,0.163056954,396.6297041,0.641976132,0.071556686
14360,0.041715381,3.393,3,0.272,1.605,797.290526,60,89,0.231229283,423.2375937,0.661777452,0.290935278
14545,0.109767651,3.23,34,0.019,1.891,1913.203153,60,21,0.213764634,157.2462593,0.60170678,0.135243116
14894,0.161899955,3.109,165,0.007,1.285,2426.73736,60,44,0.161231146,218.9319672,0.162010801,0.002565448
14918,0.124664049,3.423,5,0.269,1.752,6432.365214,60,12,0.182568657,246.0292025,0.738515901,0.000241821
1,0.063867882,2.644,12,0.161,1.973,1266.392966,70,56,0.217231305,452.8313445,0.589305954,0.126707327
14,0.070121255,6.428,16,0.146,1.698,2223.241252,70,2,0.128327444,185.7570207,0.369224615,0.0599064
118,0.15968917,2.672,19,0.239,1.519,3607.174488,70,64,0.229517449,417.2611526,0.602506834,0.066918116
172,0.167227173,4.863,3,0.12,1.303,6147.031815,70,177,0.145950933,317.0205334,0.20934729,0.252874242
179,0.054511689,4.832,44,0.127,1.778,1785.507307,70,28,0.093688941,266.4045279,0.887192479,0.132820871
266,0.030860537,5.066,2,0.344,1.246,5850.325571,70,200,0.217400147,447.8632024,0.408093873,0.250890249
340,0.165021387,2.376,110,0.039,1.963,1365.724136,70,4,0.170776775,338.6178768,0.963330889,0.033691865
463,0.014715288,5.677,32,0.217,1.583,2501.061553,70,17,0.117396794,147.8743915,0.371091406,0.060643962
736,0.118999123,2.743,21,0.146,1.568,1297.852413,70,47,0.24589298,272.3775791,0.562970865,0.026658042
763,0.098753163,6.549,6,0.082,1.201,5899.548375,70,167,0.137739691,468.6525953,0.740916061,0.419894691
861,0.081253078,3.734,78,0.164,1.765,3063.807349,70,15,0.181987752,434.7335636,0.827055137,0.012592514
954,0.05012572,6.358,146,0.043,1.654,2191.748942,70,24,0.05486733,493.3158822,0.264017601,0.026303616
985,0.1493394,6.079,60,0.06,1.315,1519.515484,70,2,0.105595698,263.4065558,0.476098407,0.075104054
1063,0.12680912,5.733,45,0.233,1.374,1185.914773,70,27,0.185859472,312.4508043,0.316354424,0.004319674
1150,0.149435447,4.364,13,0.332,1.447,2595.127747,70,78,0.1133413,214.3045651,0.142942863,0.019047262
1176,0.093387656,4.78,15,0.167,1.426,2688.094144,70,63,0.182462201,373.7520235,0.260684046,0.082488308
1183,0.157408556,2.309,69,0.027,1.731,1421.771993,70,10,0.189627785,161.0750722,0.71624775,0.100064322
1212,0.131420753,1.978,136,0.033,1.363,2246.751145,70,32,0.140982059,339.5172133,0.016134409,0.005810787
1262,0.147769835,3.894,98,0.023,1.234,2495.706339,70,13,0.179223897,225.7465918,0.581105407,0.030843169
1316,0.152200672,2.629,167,0.051,1.906,2563.06196,70,16,0.237344032,249.1691172,0.646443096,0.006537363
1332,0.04566676,4.918,17,0.146,1.357,6698.06161,70,166,0.248482039,485.5543827,0.571304754,0.308600097
1489,0.0533006,2.783,44,0.099,1.384,2141.057875,70,25,0.082678444,449.2278582,0.757783852,0.013248153
1558,0.169613324,3.908,65,0.182,1.571,1617.684352,70,32,0.248846794,443.6891274,0.291686112,0.108108193
1774,0.019035225,4.664,13,0.282,1.402,3766.132086,70,82,0.132415628,265.174665,0.429761984,0.049137958
1883,0.155923963,1.617,7,0.215,1.679,9575.341999,70,148,0.142859041,341.5602434,0.724781652,0.388069314
1921,0.011068178,4.289,1,0.23,1.972,6825.974533,70,238,0.18980911,354.7687729,0.299553304,0.221437485
1970,0.069097594,3.921,63,0.039,1.921,1148.08246,70,12,0.247409933,368.9673071,0.609773985,0.107104431
2016,0.129111531,4.356,92,0.085,1.667,2236.802029,70,53,0.119679342,239.7579299,0.201280085,0.009057385
2078,0.071998913,4.878,60,0.207,1.977,1838.946071,70,61,0.228040663,318.4017003,0.313220881,0.036912422
2118,0.089176476,5.09,56,0.245,1.745,1701.985888,70,63,0.054822631,169.3405849,0.118741249,0.00875929
2150,0.139493395,3.92,8,0.137,1.718,2804.631276,70,19,0.21564865,295.20022,0.121808121,0.114045863
2229,0.141718202,4.729,55,0.098,1.37,1620.227089,70,38,0.143788953,169.5949084,0.738715914,0.035045989
2250,0.145521295,6.741,29,0.06,1.521,2537.104681,70,3,0.083428021,263.8635173,0.514634309,0.041955845
2265,0.028910608,4.267,7,0.313,1.344,7671.727155,70,145,0.071483133,257.6996223,0.547503167,0.149739557
2308,0.083649169,6.645,125,0.059,1.102,2297.785298,70,38,0.088465799,228.4651106,0.592839523,0.015708394
2319,0.045819872,2.682,4,0.27,1.359,8855.604456,70,155,0.158656498,479.5611044,0.737782519,0.32402164
