x_rounded,y_rounded,Epoch,Database,Site
-9.200000000000001,38.85,Pleistocene,RPDE,Pego do Diabo
-9.15,38.85,Pleistocene,RPDE,Pego do Diabo
-9,52.650000000000006,Holocene,RPDE,Edenvale Cave
-9,52.800000000000004,Pleistocene,RPDE,"Newhall Cave, Edenvale complex, Co. Clare"
-8.8,39.75,Pleistocene,PACEA,Abrigo do Lagar Velho
-8.75,39.75,Pleistocene,PACEA,Abrigo do Lagar Velho
-8.6,52.2,Pleistocene,PACEA,"Castlepook Cave, Co. Cork"
-8.55,52.25,Pleistocene,PACEA,"Castlepook Cave, Co. Cork"
-8.450000000000001,52.2,Pleistocene,Lorenzen,"Foley Cave, Connaberry TD, Co. Clark"
-8.450000000000001,54.050000000000004,Pleistocene,RPDE,"Plunkett Cave, Keash"
-8.4,39.650000000000006,Pleistocene,PACEA,Gruta do Caldeirao
-8.35,52.6,Holocene,RPDE,"Killuragh Cave, Co. Limerick"
-7.75,52.1,Pleistocene & Holocene,RPDE,"Ballynamintra Cave, Co. Waterford"
-7.6000000000000005,52.1,Pleistocene,Lorenzen,"Shandon Cave, Co. Waterford"
-5.95,43.400000000000006,Pleistocene,PACEA,"Spain, Cueva de la Paloma"
-5.9,43.35,Pleistocene,PACEA,Las Caldas
-5.9,56.550000000000004,Holocene,EUROEVOL,"Isle of Risga, Scotland"
-5.8500000000000005,43.35,Pleistocene,Lorenzen,Cueto de la Mina
-4.95,58.1,Pleistocene & Holocene,Lorenzen,Reindeer cave
-4.9,58.150000000000006,Holocene,EUROEVOL,Creag nan Uamh
-4.8500000000000005,43.400000000000006,Pleistocene & Holocene,PACEA,"Spain, Cueva Cueto de la Mina"
-4.7,51.650000000000006,Pleistocene,Lorenzen,Hoyle's Mouth
-4.65,55.6,Holocene,EUROEVOL,"Shewalton, Scotland"
-4.6000000000000005,43.35,Pleistocene,PACEA,Cueva de la Paloma
-4.25,51.550000000000004,Pleistocene,Lorenzen,"Goat's Hole, Paviland"
-3.95,43.300000000000004,Pleistocene & Holocene,PACEA,"Spain, El Castillo"
-3.95,50.35,Holocene,PACEA,Shelter Cave (Kitley Cave)
-3.9000000000000004,43.150000000000006,Pleistocene & Holocene,PACEA,La Garma
-3.9000000000000004,55.2,Holocene,PACEA,"Green Graig, Pentland Hills"
-3.7,43.300000000000004,Pleistocene & Holocene,PACEA,"Cueva de la Piélago, Mirones"
-3.6500000000000004,50.5,Pleistocene & Holocene,PACEA,"England, Three Holes cave"
-3.6,50.550000000000004,Pleistocene & Holocene,PACEA,"England, Pixies Hole Cave"
-3.5500000000000003,50.45,Pleistocene,RPDE,Kent's Cavern
-3.5,50.45,Pleistocene & Holocene,RPDE,"Kent's Cavern, Devon"
-3.45,43.25,Pleistocene & Holocene,RPDE,"Spain, El Mirón Cave"
-3.35,53.25,Pleistocene,Lorenzen,Cae Gwyn Cave
-3.1500000000000004,43.5,Pleistocene & Holocene,PACEA,"Spain, Cueva del Pendo"
-2.9000000000000004,51.300000000000004,Pleistocene,Lorenzen,"Picken's Hole, Somerset"
-2.85,51.300000000000004,Pleistocene,RPDE,"Picken's Hole, Somerset"
-2.85,52.45,Pleistocene,PACEA,"Condover, Shropshire"
-2.75,51.25,Pleistocene & Holocene,PACEA,"Gough's Cave, Cheddar, Somerset"
-2.75,51.300000000000004,Pleistocene & Holocene,PACEA,Chelms Combe
-2.75,52.650000000000006,Pleistocene,PACEA,"Condover, Shropshire"
-2.7,51.25,Pleistocene,PACEA,"Hyaena Den, Wookey Hole"
-2.6500000000000004,51.85,Pleistocene,Lorenzen,King Arthur's Cave
-2.6,51.25,Pleistocene,RPDE,"Hyaena Den, Wookey Hole"
-2.5500000000000003,51.800000000000004,Pleistocene & Holocene,PACEA,King Arthur's Cave
-2.5,43.050000000000004,Pleistocene,RPDE,Labeko Koba
-2.35,43.25,Pleistocene,PACEA,Cueva de Ermitta
-2.35,54.1,Holocene,PACEA,Kinsey Cave
-2.3000000000000003,43.25,Holocene,PACEA,Cueva de Urtiaga
-2.3000000000000003,43.300000000000004,Pleistocene,PACEA,Urtiaga
-2.25,53.900000000000006,Pleistocene,PACEA,Victoria Cave
-2.25,54.150000000000006,Pleistocene & Holocene,PACEA,Victoria Cave
-1.9000000000000001,43.25,Pleistocene,PACEA,Aitzbitarte
-1.85,53.1,Holocene,PACEA,"Elder Bush Cave, Wetton"
-1.85,53.2,Pleistocene,PACEA,Fox Hole Cave
-1.85,54.050000000000004,Pleistocene,Lorenzen,Stump Cross Cave
-1.8,53.1,Holocene,PACEA,Ossom's Cave
-1.7000000000000002,51.85,Pleistocene,Lorenzen,Little Rissington
-1.6500000000000001,43,Pleistocene,PACEA,Cueva de Abauntz
-1.5,43.25,Pleistocene & Holocene,PACEA,"Spain, Berroberria"
-1.3,53.35,Holocene,EUROEVOL,Anston Stones Cave
-1.2000000000000002,53.25,Pleistocene & Holocene,Lorenzen,"Pin Hole Cave, Creswell Crags"
-1.2000000000000002,53.300000000000004,Pleistocene,Lorenzen,"Ash Tree Cave, Derbyshire"
-1.2000000000000002,53.35,Holocene,EUROEVOL,Anston Stones Cave
-1.1,43.550000000000004,Holocene,PACEA,"L'Abri Duruthy, Commune de Sorde-L'Abbaye, Landes"
-1.05,43.550000000000004,Pleistocene,PACEA,"L'Abri Duruthy, Commune de Sorde-L'Abbaye, Landes"
-1,51.150000000000006,Pleistocene,Lorenzen,"Conningbrook, Kent"
-1,53.300000000000004,Holocene,PACEA,Dead Man's Cave
-0.8,52.25,Pleistocene,Lorenzen,Northamptonshire
-0.75,52.25,Pleistocene & Holocene,PACEA,Earls Barton
-0.65,45.650000000000006,Pleistocene,PACEA,"Saint-Cesaire I, Roche-a-Pierrot"
-0.6000000000000001,45.550000000000004,Pleistocene,PACEA,"Le Rond du Barry, Polinac"
-0.5,45.050000000000004,Pleistocene,PACEA,Roc de Marcamps
-0.5,45.75,Pleistocene,PACEA,Roche a Pierrot
-0.35000000000000003,38.900000000000006,Pleistocene,PACEA,"Spain, Parpallo"
-0.25,39,Pleistocene,PACEA,"Spain, Parpallo"
-0.25,45.85,Pleistocene,PACEA,"Roc de Sers, Sers"
0.15000000000000002,51.550000000000004,Holocene,PACEA,"Darent Gravels, Kent"
0.2,44.7,Holocene,PACEA,"Le Morin, Gensac, Gironde"
0.30000000000000004,43.050000000000004,Pleistocene & Holocene,PACEA,Espéche
0.55,44.5,Holocene,RPDE,"Pech-Merle, Cabrerets, Lot"
0.6000000000000001,45.300000000000004,Pleistocene,PACEA,"L'Abri du Pont-d'Ambon, Commune de Bourdeilles, Dodogne"
0.75,44.85,Pleistocene & Holocene,PACEA,"Gare de Couze, Dordogne"
0.9,44.85,Pleistocene & Holocene,PACEA,"Moulin-du-Roc, Saint-Chamassy"
0.9,45.25,Pleistocene,PACEA,"Combe Saunière, Sarliac-sur-l’Isle"
0.9500000000000001,44.95,Pleistocene,PACEA,La Ferrassie
0.9500000000000001,45.1,Pleistocene,PACEA,Le Piage
1,44.95,Pleistocene,PACEA,"Le Grand Abri de Laugerie-Haute-Ouest, Commune des Eynzies, Dordogne"
1.1,44.85,Pleistocene,PACEA,Le Flagolet II
1.1,44.95,Pleistocene,PACEA,"Comarque, Dordogne"
1.1,45,Pleistocene,PACEA,Gr Conives [Thonay]
1.1500000000000001,45.050000000000004,Pleistocene,PACEA,Laugerie Haute Est
1.2000000000000002,44.800000000000004,Pleistocene,PACEA,"Grotte XVI, Cenac-et-Saint-Julien"
1.3,44.95,Pleistocene,PACEA,"Le Grand Abri de la Madeleine, Commune de Tursac, Dordogne"
1.55,44.85,Pleistocene,PACEA,"L'Abri de Combe-Cullier, Commune de Lacane, Lot"
1.6500000000000001,42.85,Pleistocene,PACEA,"La Grotte des Eglises, Ariége"
1.6500000000000001,44.050000000000004,Pleistocene & Holocene,PACEA,Bruniquel
1.6500000000000001,44.6,Pleistocene,PACEA,"Grotte Pégourié, Caniac-du-Causse"
1.75,50.800000000000004,Pleistocene,PACEA,Rinxent
